Front,Back,Order
Aussprache: c,"Aussprache: wie „tsch“ in „tschüss“: ceeb tschääb (Reis), wàcc watsch (von der Arbeit zurückkommen, aus dem Auto steigen)",0
Aussprache: e,"Aussprache: offen wie in „Bett“: benn bänn (eins)",0
Aussprache: é,"Aussprache: geschlossen wie in „Beet“: téeméer teemeer (hundert)",0
Aussprache: ë,"Aussprache: kurzes, gemurmeltes „e“, ähnlich dem „e“ in „Schule“; wird gelegentlich auch eu geschrieben: kër kär (Haus)",0
Aussprache: j,"Aussprache: wie „dj“ in „Nadja“; auch am Wortende: jox djoch (geben), tëj tädj“ (schließen)",0
Aussprache: ñ,"Aussprache: wie „nj“ bzw. spanisches „ñ“ in „Señora“: ñow njo-u (ankommen), wàññi wannji (Preis senken)",0
Aussprache: o,"Aussprache: offen wie in „flott“: nob nob (lieben)",0
Aussprache: ó,"Aussprache: geschlossen wie in „Boot“: góor góor (Mann)",0
Aussprache: q,"Aussprache: wie „k“ in „kurz“, hinten im Rachen: xonq chonk(h) (rot)",0
Aussprache: s,"Aussprache: stimmloses „s“ wie in „Bus“: gis giß (sehen); seet ßäät (suchen)",0
Aussprache: w,"Aussprache: am Wortanfang und im Wort wie engl. „w“ in „water“; am Wortende wie „u“: wax wach (sprechen, sagen), meew mää-u (Milch)",0
Aussprache: x,"Aussprache: immer wie das deutsche raue „ch“ in „Bach“: xonq chonk(h) (rot), xéy na che-i na (vielleicht)",0
Aussprache: y,"Aussprache: wie „j“ in „Jugend“; am Wortende wie „i“: yóbbu jóbbu (bringen), fey fä-i (bezahlen)",0
